scores,baselines
0.5142857142857142,0.20171428571428576
0.4857142857142857,0.19371428571428578
0.5142857142857142,0.22971428571428568
0.42857142857142855,0.19857142857142857
0.37142857142857144,0.18057142857142852
0.4,0.16885714285714284
0.5428571428571428,0.16685714285714284
0.8,0.18057142857142855
0.9428571428571428,0.18742857142857136
1.0,0.16028571428571428
0.4857142857142857,0.17457142857142854
0.34285714285714286,0.1625714285714286
0.4,0.17657142857142852
0.34285714285714286,0.1911428571428571
0.34285714285714286,0.1765714285714286
0.34285714285714286,0.16114285714285717
0.4857142857142857,0.19028571428571428
0.6571428571428571,0.18628571428571425
0.9142857142857143,0.15685714285714286
1.0,0.15257142857142858
0.42857142857142855,0.19314285714285712
0.22857142857142856,0.15314285714285716
0.2857142857142857,0.19085714285714286
0.4,0.15885714285714286
0.42857142857142855,0.17228571428571435
0.4857142857142857,0.17199999999999996
0.42857142857142855,0.16114285714285717
0.6,0.1888571428571429
1.0,0.17371428571428568
1.0,0.16942857142857143
0.4,0.18114285714285716
0.4,0.15571428571428572
0.2857142857142857,0.17714285714285716
0.34285714285714286,0.1602857142857143
0.37142857142857144,0.16914285714285718
0.42857142857142855,0.17485714285714288
0.42857142857142855,0.17657142857142857
0.6285714285714286,0.18885714285714286
0.9142857142857143,0.172
0.9714285714285714,0.1765714285714286
0.42857142857142855,0.21114285714285708
0.37142857142857144,0.18771428571428572
0.37142857142857144,0.1548571428571429
0.42857142857142855,0.19599999999999995
0.42857142857142855,0.1497142857142857
0.6,0.17971428571428574
0.5142857142857142,0.17628571428571432
0.7428571428571429,0.18828571428571425
1.0,0.1842857142857143
1.0,0.1605714285714286
0.34285714285714286,0.16485714285714287
0.45714285714285713,0.136
0.34285714285714286,0.18142857142857144
0.37142857142857144,0.1725714285714286
0.42857142857142855,0.144
0.42857142857142855,0.162
0.5142857142857142,0.18914285714285714
0.6285714285714286,0.1694285714285714
0.8857142857142857,0.16200000000000003
1.0,0.17485714285714282
