scores,baselines
1.0,0.18904545454545452
1.0,0.16462962962962968
1.0,0.1285714285714285
1.0,0.18375
1.0,0.2094791666666666
1.0,0.12077380952380949
1.0,0.166875
1.0,0.23237499999999994
1.0,0.13212500000000005
1.0,0.14490740740740735
1.0,0.2226470588235293
1.0,0.14265624999999998
1.0,0.1615625
1.0,0.14691176470588235
1.0,0.143046875
1.0,0.151875
1.0,0.11981707317073174
1.0,0.19933333333333322
1.0,0.1491666666666666
1.0,0.15627777777777774
1.0,0.1758333333333333
1.0,0.17201612903225794
1.0,0.1699242424242424
1.0,0.26294117647058823
1.0,0.17916666666666664
1.0,0.16609375
1.0,0.1750342465753425
1.0,0.12775862068965518
1.0,0.15954545454545452
1.0,0.14705128205128207
1.0,0.1548333333333333
1.0,0.181171875
1.0,0.1301630434782609
1.0,0.17860000000000006
1.0,0.1264473684210526
